type	age	median	lower	upper
0	0	2	1	3
0	1	2	1	3
0	2	2	1	3
0	3	2	1	3
0	4	2	1	3
0	5	2	1	3
0	6	2	1	3
0	7	2	1	3
0	8	2	1	3
0	9	2	1	3
0	10	2	1	3
0	11	2	1	3
0	12	3	1	4
0	13	3	2	4
0	14	3	2	4
0	15	3	2	4
0	16	3	2	4
0	17	3	2.75	4
0	18	3	3	4
0	19	3	3	4
0	20	3	2	4
0	21	3	2	4
0	22	3	2	4
0	23	3	2	4
0	24	3	2	4
0	25	3	2	4
0	26	2	2	3
0	27	2	2	3
0	28	2	2	3
0	29	2	2	3
0	30	2	2	3
0	31	2	1	2
0	32	2	1	2
0	33	1	1	2
0	34	1	1	1
0	35	1	1	1
0	36	1	0	1
0	37	1	0	1
0	38	0	0	1
0	39	0	0	0
0	40	0	0	0
0	41	0	0	0
0	42	0	0	0
0	43	0	0	0
0	44	0	0	0
0	45	0	0	0
0	46	0	0	0
0	47	0	0	0
0	48	0	0	0
0	49	0	0	0
0	50	0	0	0
0	51	0	0	0
0	52	0	0	0
0	53	0	0	0
0	54	0	0	0
0	55	0	0	0
0	56	0	0	0
0	57	0	0	0
0	58	0	0	0
0	59	0	0	0
0	60	0	0	0
0	61	0	0	0
0	62	0	0	0
0	63	0	0	0
0	64	0	0	0
0	65	0	0	0
0	66	0	0	0
0	67	0	0	0
0	68	0	0	0
0	69	0	0	0
0	70	0	0	0
0	71	0	0	0
0	72	0	0	0
0	73	0	0	0
0	74	0	0	0
0	75	0	0	0
0	76	0	0	0
0	77	0	0	0
0	78	0	0	0
0	79	0	0	0
0	80	0	0	0
0	81	0	0	0
0	82	0	0	0
0	83	0	0	0
0	84	0	0	0
0	85	0	0	0
0	86	0	0	0
0	87	0	0	0
0	88	0	0	0
0	89	0	0	0
0	90	0	0	0
0	91	0	0	0
0	92	0	0	0
0	93	0	0	0
0	94	0	0	0
0	95	0	0	0
0	96	0	0	0
0	97	0	0	0
0	98	0	0	0
0	99	0	0	0
0	100	0	0	0
1	0	16.166666666666664	9.875	25.125
1	1	14	8.75	23.625
1	2	15	10.875	22.125
1	3	14	10.875	20.25
1	4	16	12.625	22
1	5	17.25	13.875	22
1	6	17	14	22
1	7	18	15	21
1	8	18	15	23
1	9	15	12.5	19
1	10	13	9	15.125
1	11	11	7.875	14.5
1	12	8	5	13
1	13	8	5	13
1	14	9	5	12.5
1	15	8	5	11.625
1	16	8	5	11.625
1	17	9	6	12.625
1	18	10	7	14
1	19	13	9	17.625
1	20	13	9	18.125
1	21	12.75	9	16.625
1	22	14	9	17.625
1	23	13.25	9.75	18
1	24	13	10	18
1	25	15.5	12	21
1	26	17.5	14	23.5
1	27	20	16.5	24.25
1	28	17.75	13.5	23
1	29	13.5	11	18.25
1	30	12	10	18
1	31	12.25	9	17
1	32	11.5	8	16
1	33	9	7	13.25
1	34	8	6	12
1	35	8	5.5	12
1	36	7.75	6	11.125
1	37	6	4	9
1	38	6	4	8
1	39	4.5	3	6.5
1	40	4.5	3	7
1	41	4.25	3	6
1	42	4.5	3	6.5
1	43	4	2.875	6
1	44	4	2.875	6
1	45	4.25	3	6
1	46	2.5	2	3.5
1	47	1	0	2.625
1	48	1	0	2
1	49	0	0	1
1	50	0	0	1
1	51	0	0	1
1	52	0	0	1
1	53	0	0	1
1	54	0	0	1
1	55	0	0	1
1	56	0	0	1
1	57	0	0	1
1	58	0	0	1
1	59	0	0	1
1	60	0	0	1
1	61	0	0	1
1	62	0	0	1
1	63	0	0	1
1	64	0	0	1
1	65	0	0	1
1	66	0	0	1
1	67	0	0	1
1	68	0	0	1
1	69	0	0	1
1	70	0	0	1
1	71	0	0	1
1	72	0	0	1
1	73	0	0	1
1	74	0	0	1
1	75	0	0	1
1	76	0	0	1
1	77	0	0	1
1	78	0	0	1
1	79	0	0	1
1	80	0	0	1
1	81	0	0	1
1	82	0	0	1
1	83	0	0	1
1	84	0	0	1
1	85	0	0	1
1	86	0	0	1
1	87	0	0	1
1	88	0	0	1
1	89	0	0	1
1	90	0	0	1
1	91	0	0	1
1	92	0	0	1
1	93	0	0	1
1	94	0	0	1
1	95	0	0	0.25
1	96	0	0	0.25
1	97	0	0	0.25
1	98	0	0	0.25
1	99	0	0	0
1	100	0	0	0
